LABEL_STAGE,MQ3_PCT,MQ5_PCT,MQ135_PCT,Temp_C_PCT,Hum_PCT_PCT,hue,saturation,value,contrast,homogeneity,energy,correlation,hist_r_0,hist_r_1,hist_r_2,hist_r_3,hist_r_4,hist_r_5,hist_r_6,hist_r_7,hist_r_8,hist_r_9,hist_r_10,hist_r_11,hist_r_12,hist_r_13,hist_r_14,hist_r_15,hist_r_16,hist_r_17,hist_r_18,hist_r_19,hist_r_20,hist_r_21,hist_r_22,hist_r_23,hist_r_24,hist_r_25,hist_r_26,hist_r_27,hist_r_28,hist_r_29,hist_r_30,hist_r_31,hist_g_0,hist_g_1,hist_g_2,hist_g_3,hist_g_4,hist_g_5,hist_g_6,hist_g_7,hist_g_8,hist_g_9,hist_g_10,hist_g_11,hist_g_12,hist_g_13,hist_g_14,hist_g_15,hist_g_16,hist_g_17,hist_g_18,hist_g_19,hist_g_20,hist_g_21,hist_g_22,hist_g_23,hist_g_24,hist_g_25,hist_g_26,hist_g_27,hist_g_28,hist_g_29,hist_g_30,hist_g_31,hist_b_0,hist_b_1,hist_b_2,hist_b_3,hist_b_4,hist_b_5,hist_b_6,hist_b_7,hist_b_8,hist_b_9,hist_b_10,hist_b_11,hist_b_12,hist_b_13,hist_b_14,hist_b_15,hist_b_16,hist_b_17,hist_b_18,hist_b_19,hist_b_20,hist_b_21,hist_b_22,hist_b_23,hist_b_24,hist_b_25,hist_b_26,hist_b_27,hist_b_28,hist_b_29,hist_b_30,hist_b_31
fresh_day1,0.215261869,-0.252628148,-0.111191586,-0.069979006,-0.038583224,45.1848,25.2762,201.6845,2.2793,0.7959,0.1299,0.9979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,91.0,64.0,123.0,271.0,466.0,573.0,492.0,563.0,732.0,972.0,1063.0,2181.0,16102.0,5139.0,5764.0,11957.0,15067.0,3634.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,98.0,112.0,203.0,299.0,482.0,584.0,661.0,761.0,847.0,921.0,1426.0,2284.0,15063.0,5646.0,5187.0,7352.0,17872.0,5368.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,132.0,376.0,795.0,1178.0,1856.0,3125.0,4595.0,2509.0,1736.0,1508.0,824.0,367.0,4137.0,10014.0,3315.0,4220.0,9174.0,14277.0,1384.0,0.0,0.0,0.0
fresh_day1,0.517418437,0.162985902,0.20096094,0.099970009,0.085103568,47.146,25.6335,174.6926,1.6486,0.8043,0.1314,0.9982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,58.0,50.0,147.0,418.0,564.0,648.0,753.0,1024.0,1076.0,1329.0,4956.0,14501.0,4150.0,9760.0,18658.0,7033.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,55.0,105.0,199.0,437.0,651.0,680.0,830.0,1117.0,1568.0,2292.0,2614.0,14106.0,4978.0,7537.0,16466.0,11462.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,143.0,441.0,1079.0,1876.0,3194.0,2621.0,2450.0,3040.0,2362.0,494.0,462.0,5171.0,9956.0,3879.0,7295.0,15039.0,6007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-0.993364405,-1.083856246,-0.475369534,-0.137958612,-0.207247032,47.0239,30.493,200.1312,4.2446,0.7584,0.1181,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,53.0,83.0,133.0,223.0,491.0,640.0,748.0,797.0,1973.0,1096.0,1122.0,3714.0,10946.0,5650.0,7900.0,14846.0,12524.0,2548.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,76.0,170.0,298.0,466.0,643.0,775.0,861.0,1902.0,1083.0,996.0,2315.0,13803.0,7011.0,6682.0,8551.0,17250.0,2556.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,80.0,286.0,502.0,636.0,1056.0,2355.0,6408.0,7604.0,4454.0,1329.0,564.0,820.0,2890.0,8327.0,2811.0,4653.0,8837.0,11893.0,0.0,0.0,0.0,0.0
fresh_day1,1.021012718,0.994214,0.66918973,0.303908827,0.242523122,48.5919,27.8512,170.6528,2.8453,0.8257,0.1376,0.9968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,97.0,337.0,307.0,445.0,474.0,565.0,595.0,682.0,905.0,2125.0,13923.0,8451.0,5529.0,16409.0,12974.0,1653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,96.0,381.0,371.0,447.0,515.0,542.0,632.0,711.0,1013.0,2751.0,9989.0,10603.0,4796.0,9390.0,19828.0,3414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,75.0,279.0,798.0,1051.0,4332.0,4764.0,816.0,1284.0,3175.0,1128.0,645.0,2150.0,8422.0,6357.0,5315.0,11377.0,12688.0,873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-0.489770124,-0.668242197,-0.631445797,-0.239928022,-0.139781509,44.3704,31.6198,147.7566,6.6045,0.7135,0.1142,0.9938,0.0,0.0,0.0,0.0,0.0,0.0,8.0,142.0,218.0,661.0,780.0,759.0,1162.0,2392.0,2742.0,2080.0,5660.0,9577.0,4497.0,11450.0,16823.0,5096.0,1470.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,116.0,265.0,720.0,860.0,809.0,1335.0,2283.0,3167.0,2229.0,3721.0,10499.0,3797.0,9452.0,16643.0,9154.0,466.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,71.0,651.0,1626.0,2583.0,3643.0,3451.0,4588.0,5690.0,2311.0,1159.0,3168.0,8130.0,2645.0,8292.0,15988.0,1534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,0.114543013,0.162985902,-0.007140744,-0.035989203,-0.016094716,46.7655,31.2877,169.507,4.2236,0.7711,0.1196,0.9949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,111.0,230.0,266.0,350.0,511.0,713.0,1046.0,2023.0,1185.0,1815.0,11793.0,5443.0,10678.0,19444.0,8048.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,118.0,233.0,285.0,425.0,533.0,685.0,996.0,1952.0,1198.0,1575.0,11217.0,8331.0,9627.0,9647.0,16476.0,2179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,163.0,494.0,633.0,751.0,1979.0,6822.0,7043.0,4935.0,777.0,724.0,1848.0,9414.0,3316.0,6496.0,11662.0,8435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-0.791926692,-0.668242197,-0.371318691,-0.103968809,-0.117293001,45.1848,25.2762,201.6845,2.2793,0.7959,0.1299,0.9979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,91.0,64.0,123.0,271.0,466.0,573.0,492.0,563.0,732.0,972.0,1063.0,2181.0,16102.0,5139.0,5764.0,11957.0,15067.0,3634.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,98.0,112.0,203.0,299.0,482.0,584.0,661.0,761.0,847.0,921.0,1426.0,2284.0,15063.0,5646.0,5187.0,7352.0,17872.0,5368.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,132.0,376.0,795.0,1178.0,1856.0,3125.0,4595.0,2509.0,1736.0,1508.0,824.0,367.0,4137.0,10014.0,3315.0,4220.0,9174.0,14277.0,1384.0,0.0,0.0,0.0
fresh_day1,0.819575006,0.578599951,0.461088045,0.235929221,0.197546107,48.992,29.5913,172.7335,1.5667,0.8156,0.1369,0.9986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,71.0,120.0,462.0,774.0,664.0,771.0,880.0,863.0,1261.0,1703.0,6313.0,15487.0,3520.0,7591.0,17207.0,5443.0,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,90.0,153.0,574.0,722.0,694.0,805.0,893.0,1057.0,1257.0,2418.0,4978.0,13578.0,4459.0,5335.0,14660.0,12631.0,1134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,317.0,853.0,1510.0,3316.0,5786.0,964.0,925.0,1877.0,3538.0,818.0,506.0,4232.0,11889.0,3950.0,5899.0,13818.0,5233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-0.187613556,-0.252628148,-0.163217007,-0.069979006,-0.049827478,47.1917,25.673,171.4077,2.2655,0.8052,0.1317,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,36.0,197.0,529.0,806.0,664.0,645.0,691.0,846.0,1821.0,3123.0,12956.0,4437.0,4448.0,11246.0,19915.0,3155.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36.0,197.0,598.0,860.0,695.0,722.0,750.0,1020.0,2656.0,2809.0,9056.0,6837.0,3785.0,8278.0,17552.0,9654.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,370.0,852.0,1658.0,3762.0,3448.0,1287.0,1717.0,3045.0,1221.0,420.0,869.0,9669.0,4545.0,3965.0,8379.0,15914.0,4359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-1.194802117,-1.499470296,-0.735496639,-0.341897431,-0.252224047,48.4718,26.2124,144.1762,1.7934,0.803,0.1334,0.9973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,154.0,451.0,672.0,1167.0,1151.0,1608.0,2786.0,14434.0,5691.0,11524.0,22250.0,3527.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,53.0,222.0,577.0,897.0,1320.0,1357.0,2217.0,2044.0,13689.0,4878.0,10129.0,18175.0,9847.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,192.0,727.0,1677.0,3163.0,3422.0,1941.0,3431.0,1620.0,598.0,3031.0,9730.0,4764.0,8573.0,17918.0,4738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
